gene_name,gene_id_x,transcript_id,biotype,gene_id_y,exon_coverage,CDS_coverage
KIAA0408,ENSG00000189367,ENST00000483725,transcript,ENSG00000189367,32.28215218,32.04890497
PELO,ENSG00000152684,ENST00000274311,transcript,ENSG00000152684,32.85626033,32.04904913
SCGB1D2,ENSG00000124935,ENST00000244926,transcript,ENSG00000124935,32.05915163,32.0490852
EIF5A,ENSG00000132507,ENST00000336452,transcript,ENSG00000132507,30.52961254,32.04946011
SCGB2A2,ENSG00000110484,ENST00000227918,transcript,ENSG00000110484,31.64284726,32.04956743
TPGS2,ENSG00000134779,ENST00000334295,transcript,ENSG00000134779,32.02880382,32.04964239
PIGG,ENSG00000174227,ENST00000453061,transcript,ENSG00000174227,32.32626449,32.04971724
APOB,ENSG00000084674,ENST00000233242,transcript,ENSG00000084674,32.08048991,32.04987082
ALS2CR12,ENSG00000155749,ENST00000405148,transcript,ENSG00000155749,32.09008053,32.0499485
PDZK1IP1,ENSG00000162366,ENST00000294338,transcript,ENSG00000162366,31.98847744,32.04997503
SKA2,ENSG00000182628,ENST00000330137,transcript,ENSG00000182628,31.7331879,32.05000128
SLC38A10,ENSG00000157637,ENST00000374759,transcript,ENSG00000157637,32.12092075,32.05003904
GPANK1,ENSG00000204438,ENST00000375906,transcript,ENSG00000204438,30.66712486,32.05010407
RAB34,ENSG00000109113,ENST00000447716,transcript,ENSG00000109113,31.99965886,32.05013569
ZFP41,ENSG00000264668,ENST00000522452,transcript,ENSG00000264668,31.58155518,32.05039149
MLEC,ENSG00000110917,ENST00000228506,transcript,ENSG00000110917,32.04931837,32.05051636
EZR,ENSG00000092820,ENST00000367075,transcript,ENSG00000092820,31.68772286,32.05052935
PVRL4,ENSG00000143217,ENST00000368012,transcript,ENSG00000143217,31.65782323,32.05056512
ANO8,ENSG00000074855,ENST00000159087,transcript,ENSG00000074855,31.93547553,32.05057335
ZNF772,ENSG00000197128,ENST00000343280,transcript,ENSG00000197128,32.32929633,32.050784
